JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020
619,0225011,Zawidów,287406944.0,231777072.0,978789952.0,1061266816.0,368453824.0,254153728.0,242490720.0,203693680.0,284870688.0,335846304.0,546356800.0,490098560.0,839718144.0,990737216.0,962796800.0,909961600.0,1016969344.0,1000041024.0,960883648.0,978978560.0,1288295808.0
10461,0210033,Leśna,2019903232.0,1747089280.0,4540380160.0,4023797504.0,3430139904.0,3533129472.0,3073820672.0,2160832768.0,2762240256.0,2630385664.0,3024719104.0,2867588096.0,5216185344.0,4606630400.0,5388189184.0,4861222912.0,4916782592.0,4769040896.0,6301983232.0,4316356608.0,5226080256.0
7569,0206041,Szklarska Poręba,1242832256.0,989493888.0,1114723584.0,1410946816.0,1269975296.0,1194162304.0,993895616.0,849949120.0,946749184.0,1071492032.0,1418913536.0,711910528.0,1779377664.0,878268544.0,1229739136.0,1056623488.0,1320083456.0,1297240320.0,1321658624.0,1401621504.0,1856594560.0
13805,0207033,Lubawka,1084594688.0,821022272.0,840352576.0,1120338816.0,1132015872.0,1158875008.0,837566208.0,768320576.0,887666752.0,1055033664.0,1155972224.0,994906304.0,1615760896.0,1110790656.0,1348114176.0,1154713728.0,1505114624.0,1556954880.0,1797160064.0,1820495360.0,1906922752.0
7602,0221063,Mieroszów,268365072.0,243399312.0,345896640.0,321403232.0,510017824.0,305405024.0,307731584.0,367774976.0,385979904.0,460248192.0,486412864.0,440673728.0,324988544.0,343643136.0,332983936.0,372020768.0,382388480.0,451440064.0,482587904.0,701572608.0,778553216.0
8419,3212012,Bielice,8120375296.0,5342408704.0,5386054144.0,6639376384.0,6000564736.0,5467881472.0,8858269696.0,10202561536.0,7262450688.0,10706380800.0,8739107840.0,9561640960.0,11927887872.0,9234681856.0,12823305216.0,18021292032.0,14317041664.0,16252119040.0,14900615168.0,15143600128.0,14504012800.0
8615,3212062,Warnice,524730912.0,345704224.0,573376704.0,919169984.0,628402304.0,694279552.0,661618944.0,949878208.0,568896448.0,701397440.0,1054406592.0,559217152.0,1138755328.0,676903680.0,1078130560.0,1536324096.0,1378190080.0,1426628992.0,1514090112.0,1767675648.0,1764776960.0
22632,3213052,Postomino,738201856.0,302619200.0,373333888.0,445493568.0,506262944.0,535851520.0,485776896.0,545297600.0,530894816.0,566919872.0,1203830528.0,434594816.0,889426048.0,532730496.0,766595072.0,581256320.0,791019776.0,902512000.0,693215552.0,898091648.0,944147776.0
4076,0211011,Lubin,1250857088.0,998567168.0,1337408512.0,922362880.0,1311941632.0,886887616.0,995302016.0,954522880.0,1153397120.0,1147855744.0,2432937216.0,1638456064.0,3072720384.0,3519687424.0,2185338112.0,1641452160.0,2936892928.0,3200157952.0,2552427264.0,3668470528.0,4219855872.0
8585,0212053,Wleń,1331049984.0,1042695040.0,1214476160.0,1518722048.0,1394577280.0,1257216128.0,1060410304.0,947459008.0,1062932672.0,1243199872.0,1922412288.0,821477504.0,1946666624.0,1068303104.0,1426942720.0,1252885504.0,1536336384.0,1526230656.0,1526567808.0,1829756928.0,2355624704.0
19825,0601092,Łomazy,168367600.0,146974976.0,194812864.0,196719312.0,197940144.0,244731824.0,160601344.0,178584224.0,186378976.0,252279248.0,249656432.0,357825280.0,392799456.0,484336192.0,383321376.0,311597568.0,390322720.0,376291840.0,316877184.0,477997920.0,303030464.0
5493,1002072,Łanięta,199800608.0,229840960.0,375205920.0,572006016.0,277805120.0,187778992.0,192712128.0,232596272.0,230782416.0,312789248.0,443664384.0,255347312.0,335142176.0,269834464.0,401165952.0,376964064.0,357787264.0,409828640.0,401334528.0,282171744.0,385447712.0
8940,1002102,Strzelce,198609552.0,226857104.0,369849696.0,566879296.0,278679040.0,191378736.0,192568832.0,236663456.0,232896288.0,316797792.0,473874464.0,259189376.0,338530848.0,274274112.0,402769568.0,374094880.0,345548384.0,384150368.0,379841504.0,243845488.0,395718144.0
17814,1003042,Widawa,128203608.0,109431328.0,115433464.0,130298880.0,189498080.0,125613216.0,124161600.0,168414336.0,168059232.0,217920256.0,193035136.0,167439616.0,155397312.0,170306048.0,154175664.0,198894304.0,173390144.0,186228896.0,194287904.0,240906176.0,200176912.0
11984,1003032,Sędziejowice,600760832.0,646637760.0,639559808.0,677084544.0,967089344.0,770246336.0,742976128.0,936179456.0,902144384.0,878059968.0,1510573824.0,994231552.0,1102171904.0,946663936.0,1283822208.0,1523563776.0,1507334144.0,1416220416.0,1644198656.0,2071062016.0,2048755456.0
8260,1003052,Wodzierady,167080208.0,150625952.0,166799744.0,178619232.0,244462464.0,161967216.0,164383840.0,226832640.0,218095072.0,289885536.0,406081824.0,241585184.0,253291120.0,250270720.0,286140960.0,350456736.0,317031808.0,332985024.0,380003968.0,506395360.0,424359616.0
15434,1004042,Grabów,165882240.0,166375968.0,193879488.0,205485088.0,221595328.0,195059040.0,185356704.0,209641184.0,206952640.0,269804800.0,351933760.0,236582752.0,287465664.0,346851872.0,259228336.0,289054272.0,327453920.0,285722144.0,300505056.0,464446944.0,409929440.0
9578,1416062,Nur,91565168.0,81419440.0,87236784.0,93615336.0,138879104.0,87687456.0,89301072.0,115228336.0,118818992.0,154168672.0,136741088.0,115028304.0,94810192.0,115787520.0,100522920.0,109294544.0,102882856.0,111084720.0,105647072.0,122023056.0,110052096.0
8216,1417043,Karczew,32686264320.0,33779804160.0,37104541696.0,34448687104.0,38183981056.0,44084768768.0,45609885696.0,51670396928.0,50499158016.0,57967661056.0,36225040384.0,59269455872.0,43328200704.0,39936241664.0,52530171904.0,63254753280.0,55276167168.0,58084618240.0,63789064192.0,70801235968.0,65265078272.0
13217,1437063,Żuromin,310783392.0,234573664.0,363462400.0,332842112.0,515610592.0,389116128.0,389170944.0,315103264.0,341451968.0,394666144.0,704138944.0,322509504.0,414550624.0,415936928.0,516717696.0,535994752.0,556917632.0,495354688.0,584494464.0,706579328.0,806629120.0
2445,1816011,Dynów,236507744.0,195937632.0,216190624.0,222554320.0,320097728.0,220618912.0,219944192.0,278223936.0,281668480.0,388222688.0,317236352.0,287115616.0,217118592.0,271873536.0,221297280.0,269757216.0,230912528.0,254230080.0,227070880.0,309282144.0,364188128.0
11221,1816023,Błażowa,309031232.0,276688640.0,307905824.0,300132448.0,422496160.0,306001472.0,292863872.0,371375520.0,377563008.0,534992576.0,586771264.0,428140064.0,444448640.0,483538880.0,410376256.0,505227712.0,539803648.0,673924096.0,722989312.0,787923200.0,782024000.0
8630,0417032,Książki,252063632.0,216021488.0,339466976.0,269954752.0,326760800.0,249826384.0,320564256.0,321294592.0,342979168.0,334272800.0,496600128.0,381477888.0,541940480.0,445463552.0,599004992.0,483628416.0,616689024.0,657850560.0,692041664.0,769195840.0,809123008.0
11920,0417042,Płużnica,400107520.0,363928448.0,556842048.0,465017792.0,606989632.0,458941792.0,564664448.0,587553088.0,624011712.0,854016000.0,981295040.0,671685120.0,954670656.0,865452352.0,1248248064.0,995481344.0,1286488320.0,1366514816.0,1408806912.0,1368959488.0,1558173696.0
15098,0418043,Brześć Kujawski,461465536.0,424487072.0,565921408.0,522928000.0,709252416.0,537520896.0,654661376.0,707707968.0,608072320.0,852071488.0,987495552.0,696445440.0,581918592.0,520300928.0,779073728.0,866308544.0,763456896.0,959430912.0,928671488.0,861317376.0,936153856.0
11019,0602112,Potok Górny,249763264.0,254194384.0,239028672.0,246194048.0,315032896.0,260572864.0,249387392.0,311073536.0,284103040.0,340508160.0,788827968.0,294925792.0,389803168.0,436384544.0,367735840.0,378830144.0,377301888.0,423993248.0,400127968.0,452874496.0,508483392.0
17124,0802042,Dąbie,454725056.0,481803680.0,499183360.0,555858688.0,630062592.0,605170944.0,624489152.0,854786560.0,812564480.0,658641536.0,702078464.0,391023136.0,767639232.0,822144384.0,662360768.0,871840384.0,750788096.0,836142720.0,877299456.0,1015125632.0,1235160832.0
1442,1438011,Żyrardów,379769440.0,452519584.0,765724928.0,654332096.0,731209088.0,1168067968.0,586080128.0,654675712.0,652366464.0,558951808.0,1158327296.0,718342144.0,935353088.0,845012352.0,1273468928.0,1355635328.0,1476675584.0,1349605120.0,1793869568.0,2102405376.0,2007113600.0
11055,1463011,Radom,4912938496.0,7904590848.0,6232156672.0,5325087232.0,7610021376.0,5861796864.0,7105798656.0,7436553216.0,7148533760.0,8957083648.0,8428781568.0,9591911424.0,8582871040.0,9231769600.0,9843077120.0,11378186240.0,10769443840.0,11636304896.0,13738401792.0,12930000896.0,11917818880.0
