gmina_code,gmina_name,tot_pop_1998,working_pop_1998,higher_1998,post_secondary_1998,secondary_1998,secondary_general_1998,secondary_vocational_1998,vocational_1998,primary_1998,tot_pop_2002,working_pop_2002,higher_2002,post_secondary_2002,secondary_2002,secondary_general_2002,secondary_vocational_2002,vocational_2002,primary_2002,tot_pop_abs_change,tot_pop_pct_change,working_pop_abs_change,working_pop_pct_change,higher_abs_change,higher_pct_change,post_secondary_abs_change,post_secondary_pct_change,secondary_abs_change,secondary_pct_change,secondary_general_abs_change,secondary_general_pct_change,secondary_vocational_abs_change,secondary_vocational_pct_change,vocational_abs_change,vocational_pct_change,primary_abs_change,primary_pct_change
0809000,Powiat zielonogórski,82001.0,42204.0,2452.0,,12622.0,,,16010.0,23309.0,87760.0,54632.0,5035.0,1919.0,19050.0,5176.0,13874.0,21012.0,22590.0,5759.0,0.0702308508432824,12428.0,0.2944744573974031,2583.0,1.053425774877651,,,6428.0,0.5092695293931231,,,,,5002.0,0.31242973141786384,-719.0,-0.030846454159337594
0810000,Powiat żagański,82925.0,43242.0,2384.0,,13218.0,,,14773.0,24598.0,83264.0,50894.0,4106.0,2062.0,17968.0,3532.0,14436.0,19042.0,22460.0,339.0,0.004088031353632801,7652.0,0.1769575875306415,1722.0,0.7223154362416108,,,4750.0,0.35935845059766985,,,,,4269.0,0.28897312664996955,-2138.0,-0.08691763558012847
0811000,Powiat żarski,99198.0,51538.0,2799.0,,16023.0,,,17971.0,29065.0,100011.0,61513.0,5020.0,2098.0,22773.0,5246.0,17527.0,22967.0,26643.0,813.0,0.00819572975261598,9975.0,0.1935465093717257,2221.0,0.7934976777420507,,,6750.0,0.4212694252012732,,,,,4996.0,0.27800345000278226,-2422.0,-0.08333046619645622
0861000,Powiat m. Gorzów Wielkopolski,121549.0,67288.0,7727.0,,29012.0,,,21128.0,28466.0,125914.0,83001.0,13391.0,4234.0,36171.0,13529.0,22642.0,23579.0,25731.0,4365.0,0.035911443121704,15713.0,0.23351860658661278,5664.0,0.7330141063802252,,,7159.0,0.24675996139528472,,,,,2451.0,0.11600719424460432,-2735.0,-0.0960795334785358
0862000,Powiat m. Zielona Góra,111910.0,63398.0,10982.0,,31245.0,,,17259.0,23292.0,118293.0,78324.0,17502.0,3471.0,39179.0,14446.0,24733.0,17478.0,20413.0,6383.0,0.057036904655526764,14926.0,0.23543329442569166,6520.0,0.5936987798215261,,,7934.0,0.2539286285805729,,,,,219.0,0.0126890318094907,-2879.0,-0.12360467113171905
1000000,ŁÓDZKIE,2703698.0,1431382.0,122780.0,,503041.0,,,410083.0,873101.0,2612890.0,1618934.0,208100.0,69830.0,643795.0,215373.0,428422.0,473350.0,726945.0,-90808.0,-0.03358659140185036,187552.0,0.1310286143042179,85320.0,0.6949014497475159,,,140754.0,0.27980621857860494,,,,,63267.0,0.15427852410365706,-146156.0,-0.16739873164731228
1001000,Powiat bełchatowski,105878.0,54292.0,3083.0,,14830.0,,,17688.0,30484.0,111964.0,70603.0,6443.0,2700.0,23535.0,7446.0,16089.0,24071.0,31817.0,6086.0,0.05748125200702696,16311.0,0.30043100272600015,3360.0,1.089847551086604,,,8705.0,0.5869858395144977,,,,,6383.0,0.3608661239258254,1333.0,0.04372785723658312
1002000,Powiat kutnowski,113565.0,60039.0,3193.0,,18688.0,,,18260.0,37494.0,107488.0,66472.0,6158.0,3190.0,24698.0,6765.0,17933.0,20034.0,33153.0,-6077.0,-0.053511205036763085,6433.0,0.10714702110294975,2965.0,0.9285937989351707,,,6010.0,0.3215967465753425,,,,,1774.0,0.09715224534501643,-4341.0,-0.11577852456393023
1003000,Powiat łaski,52729.0,26953.0,1357.0,,7450.0,,,8259.0,18026.0,51487.0,31120.0,2835.0,1308.0,10651.0,3293.0,7358.0,10592.0,15591.0,-1242.0,-0.02355440080411159,4167.0,0.15460245612733275,1478.0,1.0891672807663966,,,3201.0,0.42966442953020134,,,,,2333.0,0.28247971909432135,-2435.0,-0.13508265838233663
1004000,Powiat łęczycki,59645.0,30707.0,1121.0,,7244.0,,,8008.0,22482.0,54931.0,32166.0,2274.0,1117.0,10347.0,2589.0,7758.0,9560.0,19705.0,-4714.0,-0.07903428619331042,1459.0,0.047513596248412414,1153.0,1.0285459411239963,,,3103.0,0.42835450027609057,,,,,1552.0,0.1938061938061938,-2777.0,-0.123521039053465
1005000,Powiat łowicki,86884.0,44116.0,1982.0,,12475.0,,,13523.0,31036.0,83811.0,49914.0,4808.0,1530.0,18342.0,3798.0,14544.0,16220.0,26023.0,-3073.0,-0.03536899774411859,5798.0,0.13142623991295674,2826.0,1.425832492431887,,,5867.0,0.4703006012024048,,,,,2697.0,0.19943799452784144,-5013.0,-0.16152210336383555
1006000,Powiat łódzki wschodni,91181.0,48177.0,1947.0,,12878.0,,,14571.0,33280.0,62548.0,38908.0,3793.0,1352.0,14639.0,4486.0,10153.0,11622.0,19236.0,-28633.0,-0.3140237549489477,-9269.0,-0.19239471116923013,1846.0,0.9481253210066769,,,1761.0,0.13674483615468241,,,,,-2949.0,-0.20238830553839818,-14044.0,-0.42199519230769234
1007000,Powiat opoczyński,79115.0,39060.0,1345.0,,8928.0,,,11725.0,25908.0,79633.0,45896.0,3601.0,1455.0,14486.0,4131.0,10355.0,15458.0,25053.0,518.0,0.006547430954939013,6836.0,0.17501280081925244,2256.0,1.6773234200743494,,,5558.0,0.6225358422939068,,,,,3733.0,0.31837953091684434,-855.0,-0.03300138953219083
